id,name,one_liner,category,mechanic_twist,why_gap_exists,monetization,india_angle,effort
1,CollegeRank.lol,Pay to be #1 startup in your college,Regional / Education,Each college gets own board; ₹100 min; leaderboard resets monthly; verified .edu email,0 college boards in 411 list; 1000+ Indian colleges desperate for visibility,₹100-500 per bid + sponsorship from college fests,Perfect for IITs/BITS - Delhi University first,Low
2,HarbergerRank.lol,Own #1 but pay tax; anyone can buy you out,Mechanic Innovation,Harberger tax: you set self-assessed price; pay 5% daily tax; anyone can buy spot at that price,No Harberger board exists; solves whale squatting problem forever,5% daily tax + 2% sale fee,Novel economics play - buzz in crypto circles,Medium
3,LeaseRank - TimeSlot Bid,Rent #1 for 60 mins during peak traffic,Time-based,Slots sold like ad inventory; 24 slots/day; min $5/slot; countdown timer,All boards are forever-until-outbid; no time-leased board; founders want launch-hour spike,$5-200 per hour slot; 24x daily revenue,IPL match / Product Hunt launch hour - Delhi timezone peak,Low
4,PromptRank.lol,Best AI prompts ranked by money,AI Vertical,Prompts marketplace; pay to rank your prompt; buyers pay to unlock; rank = bid + sales,Only 1 prompt keyword in 411 boards; prompts are hot commodity,$1 to list + 20% of prompt sales,Indian AI creators need distribution,Low
5,FoodRank Delhi,Pay to be #1 dish in Delhi today,Local / Food,Hyperlocal: restaurants pay ₹200 to rank dish; bid becomes ₹10 coupons for first 20 orders,0 restaurant boards; high buyer intent vs founder vanity clicks,₹200/bid + commission on coupon redemption,Start with Delhi NCR - Zomato killer twist,Medium
6,ShaadiRank.lol,Pay to rank your matrimony profile, Dating / Matrimony,Profiles pay ₹500 to be #1 in city/age filter for 24h; verified Aadhaar; female profiles free,0 matrimony boards; matrimony is ₹1000Cr market in India,₹500 per 24h boost; female free = viral,Controversial but Shaadi.com does similar with Boost,Low
7,GigRank.lol,Freelancers pay to rank for client brief,Marketplace Reverse,Clients post brief; freelancers pay $5 to rank proposal; client gets 50% of bids as discount,Only 2 hire boards; reverse marketplace untapped,$5 per proposal + client discount = win-win,Indian freelancers on Upwork need edge,Medium
8,OpenSourceRank.lol,Sponsor OSS to rank it,Dev / OSS,Bid money goes directly to GitHub sponsor of repo; rank = total sponsored; devs earn,No OSS boards; devs love supporting OSS; ethical twist,10% platform fee on sponsorship,Indian OSS devs monetization,Low
9,NewsletterBid.lol,Pay to be sponsored in top newsletters,Creator Economy,5 newsletters bundle; pay to rank for next issue; verified open rates shown,Only 1 newsletter board; newsletter sponsorship is $300M market,$50 min + 15% fee,"Partner with Indian creators - Figma, GrowthX",Medium
10,BillboardIRL.lol,Pay online rank on real LED board in Gurgaon,Physical x Digital,Live camera of real billboard in CyberHub; pay online; your QR shows for 1 hour,0 physical-digital boards; everyone does digital only,$20 per hour IRL; high margin,Need 1 LED partner in Delhi - easy,High
