"name","host","url","category","tagline","evidence","claimed_taken","top_bid","bidders","minimum_bid","payment_rail","listed_at","registered_at","registrar","clicks","referrals","figures_read_at"
"2050","2050.lol","https://2050.lol/","Websites & products","Climate, energy, food and materials companies, ranked by cumulative amount paid.","Measured","$40","","","$5","","2026-09-03T09:01:42.824Z","","","3","0","2026-09-03T13:19:32.461Z"
"2029","2029.lol","https://2029.lol/","AI tools & agents","AI tools, agents and developer infrastructure, ranked by cumulative amount paid.","Measured","$40","","","$5","","2026-09-03T09:01:02.017Z","","","4","0","2026-09-03T13:19:32.688Z"
"1012","1012.lol","https://1012.lol/","Websites & products","Any product, ranked by cumulative amount paid, capped at 1,012 listings.","Measured","$2,500","","","$5","","2026-09-03T09:00:05.210Z","","","4","0","2026-09-03T13:19:32.858Z"
"AgencyThrone","agencythrone.lol","https://agencythrone.lol/","AI tools & agents","A public pay-to-rank leaderboard for growth agencies. No ads, no API keys, no revenue sharing. Rank is the bid — nothing else.","Measured","$108","$99","","$1","","2026-09-03T06:00:55.905Z","","","3","0","2026-09-03T06:04:54.106Z"
"toprung.lol","toprung.lol","https://toprung.lol/","AI tools & agents","A global pay-to-rank leaderboard with a 2%/day decay curve. No accounts, ever. Submit for free, pay whole dollars to claim an actual rank, hold it if you can.","Explicit $0","$0","","","","","2026-09-03T05:45:47.197Z","","","2","0","2026-09-03T05:49:49.978Z"
"citedbyai.lol","citedbyai.lol","https://citedbyai.lol/","AI tools & agents","A public, ranked directory built for AI crawlers. Structured data, llms.txt, server-rendered listings. Bid to rank. Spots start at $5.","Measured","$123","$27","","$5","","2026-09-01T22:15:10.302Z","","","7","0","2026-09-01T23:14:34.838Z"
"BuildRank","buildrank.lol","https://buildrank.lol/","Websites & products","The public pay-to-rank leaderboard. Submit anything, pay to rank higher, get outbid and lose the spot. #1 gets seen by everyone who visits.","Explicit $0","$0","","","$1","","2026-09-01T19:15:04.593Z","","","7","0","2026-09-01T19:20:09.164Z"
"Freeboard","freeboard.lol","https://freeboard.lol/","Websites & products","Discover pay-to-rank and leaderboard sites in one independent index. Claim yours free by domain email or a public backlink.","Verified - unmeasured","","","","$5","","2026-09-01T09:15:04.297Z","","","8","0",""
"launchday","launchday.lol","https://launchday.lol/","AI tools & agents","Launch your product on today's leaderboard from $1 — a daily alternative to Product Hunt. Anyone can overtake you before midnight UTC, then the final rankings are archived forever.","Explicit $0","$0","","","$1","","2026-09-01T08:15:05.969Z","","","9","0","2026-09-02T00:05:38.279Z"
"TubeBid","tubebid.lol","https://tubebid.lol/","X accounts","A minimalist global pay-to-rank leaderboard for YouTube creators. Claim your position, outbid creators, and rise to the top.","Verified - unmeasured","","","","","","2026-09-01T08:15:04.687Z","","","9","0",""
"BidRank","bidrank.com.au","https://bidrank.com.au/","AI tools & agents","BidRank is paid ranking for Australian tech. Software, AI and startups buy a leaderboard spot from $5 AUD. Higher bid, higher rank.","Measured","$1,405","$500","","$5","","2026-09-01T02:15:04.127Z","","","9","0","2026-09-01T02:19:24.168Z"
"emojibid","emojibid.lol","https://emojibid.lol/","AI tools & agents","Claim an emoji from $1 and it is yours permanently. Nobody can outbid you for it, ever.","Verified - unmeasured","","","","$1","","2026-08-31T22:45:04.101Z","","","8","0",""
"jaipur.lol","jaipur.lol","https://jaipur.lol/","AI tools & agents","Jaipur businesses and startups, ranked by the bid they place to be discovered. Claim your position in Jaipur from ₹100 and get a free AI Visibility Report.","Measured","$6.90","$5.75","","₹100","","2026-08-31T22:15:04.185Z","","","10","0","2026-08-31T22:20:00.643Z"
"Socials.win","socials.win","https://socials.win/","Ads & billboards","Discover the creators winning attention on the public leaderboard.","Measured","$2,713","$501","","","","2026-08-31T19:32:14.752Z","","","12","0","2026-08-31T20:36:32.053Z"
"pinit.lol","pinit.lol","https://pinit.lol/","Ads & billboards","Discover what people are building around the world. Pin your product and stake to compete for the top spot in any country.","Verified - unmeasured","","","","","","2026-08-31T18:15:43.241Z","","","9","0",""
"Launchboard","launchboard.win","https://launchboard.win/","X accounts","An outbid.lol alternative for indie makers: discover products, startup tools, and creators ranked by paid claims. List your link and climb.","Measured","$13","$4","","","","2026-08-31T08:45:07.589Z","","","10","0","2026-09-02T15:10:13.847Z"
"ADPO","adpo.lol","https://adpo.lol/","AI tools & agents","Not ready to IPO? Then ADPO instead. Take over the square and go public in digital style.","Measured","$128","$26","","$22","","2026-08-31T06:15:07.616Z","","","9","0","2026-08-31T06:24:52.908Z"
"The Internet Bus Stop","busstop.lol","https://busstop.lol/","Ads & billboards","10 Posters. One Bus Stop. Outbid for a spot.","Measured","$100","$20","","","","2026-08-29T21:15:48.111Z","","","12","0","2026-08-31T01:28:11.662Z"
"Template League","templateleague.lol","https://templateleague.lol/","AI tools & agents","The live leaderboard for website templates. Submit a valid listing, place a bid, and go live.","Measured","$741","$174","","$39","","2026-08-29T21:15:47.362Z","","","11","0","2026-08-31T15:54:48.637Z"
"Payola","payola.lol","https://payola.lol/","X accounts","A leaderboard you buy your way onto. Your stake decides your rank, and it burns down a little every day. Stop paying and you fade off the board.","Verified - unmeasured","","","","","","2026-08-29T08:45:31.594Z","","","12","0",""
"Merit List","meritlist.lol","https://meritlist.lol/","Regional & other currencies","A pay-to-rank leaderboard for Indian startups and products. List from ₹99 by UPI, then pay ₹99 more than the listing above you to take its place.","Verified - unmeasured","","","","₹99","","2026-08-29T05:45:02.767Z","","","13","0",""
"TILT. The leaderboard that falls 10% a day","tilt.nanocorp.app","https://tilt.nanocorp.app/","Directories of bid sites","A public leaderboard where any live product buys its rank in whole dollars. Every score falls 10% a day, so the top row is for sale again every morning.","Measured","$15","$3","","","","2026-08-28T18:45:48.106Z","","","11","0","2026-08-31T01:28:12.029Z"
"RankPop","rankpop.lol","https://rankpop.lol/","Ads & billboards","Paid product discovery from $1. Premium replacements return your payment minus a flat $1 fee, plus 30 more days of visibility.","Measured","$47","$15","","$1","","2026-08-28T14:15:48.151Z","","","11","0","2026-09-01T05:29:56.973Z"
"Outbid.lol Alternative: Top 3 Website Bidding","whoisnext.lol","https://whoisnext.lol/","AI tools & agents","Why did Outbid.lol go viral? Discover WhoIsNext.lol, an independent Top 3 website bidding leaderboard for startups, SaaS, AI tools and indie projects.","Measured","$0.37","$0.24","","","","2026-08-28T13:15:48.123Z","","","9","0","2026-09-04T05:20:02.620Z"
"indbid","indbid.lol","https://indbid.lol/","Websites & products","Discover India-built products going global and global products building for India on indbid’s public paid-placement board.","Measured","~$170.77","$57.50","","₹5","","2026-08-28T09:45:59.456Z","","","11","0","2026-09-01T03:29:50.512Z"
"TakeFirst.lol","takefirst.lol","https://takefirst.lol/","AI tools & agents","Take first. Hold the spot 24 hours. Pay $1 more before the clock hits zero or the seat opens. Rank is the bid.","Measured","$160","","","$5","","2026-08-28T09:45:59.185Z","","","11","0","2026-09-03T10:55:03.915Z"
"My backpack. Your brand.","brandmybackpack.lol","https://brandmybackpack.lol/","Ads & billboards","I commute the city every day. This backpack comes with me. I am your walking billboard.","Measured","$58","$11","","","","2026-08-28T09:45:55.833Z","","","10","0","2026-08-31T14:54:28.863Z"
"outbidarabs.lol","outbidarabs.lol","https://outbidarabs.lol/","X accounts","لوحة الترتيب المباشرة في العالم العربي: أعلى مزايدة = المركز الأول. أضف حسابك، ادعم صانعك المفضل، وتصدّر المشهد. The live pay-to-rank leaderboard for creators and brands.","Measured","$13","$5","","","","2026-08-27T18:45:59.143Z","","","10","0","2026-08-31T14:29:47.099Z"
"iOSBids","iosbids.lol","https://iosbids.lol/","AI tools & agents","The paid promotional leaderboard for iOS apps. App owners set their listing price for promotional placement position. The highest listing price holds #1.","Measured","$650","$151","","$152","","2026-08-27T11:45:07.142Z","","","12","0","2026-08-31T01:28:16.399Z"
"BidSpot","bidspot.site","https://bidspot.site/","Games & clips","List your startup free on BidSpot. A public Product Hunt alternative where SaaS and indie products rank by bid — or stay listed at $0. Built for US and UK makers.","Measured","$7","","","$5","","2026-08-27T07:45:09.385Z","","","11","0","2026-09-02T23:56:56.519Z"
"theGrove","thegrove.lol","https://thegrove.lol/","AI tools & agents","One field for the whole internet. Pick a square, plant a tree, pay what you want — the more you pay, the taller your brand stands. Planted forever, until someone outbids you. From $15.","Measured","$95","$20","","$15","","2026-08-27T07:45:07.139Z","","","10","0","2026-08-31T01:28:16.585Z"
"bidbook","bidbook.lol","https://bidbook.lol/","AI tools & agents","Pay to get your link on the board. The biggest total spend holds #1 — the only way up is to pay more.","Measured","$621","$49","","","","2026-08-27T07:15:07.129Z","","","8","0","2026-08-31T01:28:16.815Z"
"530 Businesses","530businesses.com","https://530businesses.com/","X accounts","Every spot on this board was bought, not earned. Outbid the business above you and take their place. No ads, no algorithm, no waiting list.","Measured","$138","$20","","$5","","2026-08-27T06:15:07.125Z","","","8","0","2026-09-01T18:45:04.373Z"
"BidRank","bidrank.dev","https://bidrank.dev/","Websites & products","A public leaderboard for SaaS and side-projects trying to get seen. Rank is bought, not earned. Outbid to move up.","Measured","$3","$2","","","","2026-08-27T04:45:07.124Z","","","8","0","2026-08-31T01:28:17.185Z"
"CrownSteal","crownsteal.lol","https://crownsteal.lol/","Games & clips","CrownSteal is a pay-to-rank public leaderboard. Higher lifetime bids climb the board — taking #1 costs $1 more than the current crown.","Measured","$1","","","","","2026-08-27T04:15:24.944Z","","","7","0","2026-08-27T04:19:21.241Z"
"endcap.lol","endcap.lol","https://endcap.lol/","Websites & products","Shoppers find new brands. Brands pay to get noticed. The internet superstore.","Measured","$45","","","","","2026-08-27T04:15:23.319Z","","","6","0","2026-08-30T00:05:02.303Z"
"whoisthegoat.lol","whoisthegoat.lol","https://whoisthegoat.lol/","Websites & products","Every goat from history and fiction, ranked by how much people paid to put them there. Outbid anyone. There is no committee.","Measured","$25","$6","","$1","","2026-08-27T04:15:22.896Z","","","6","0","2026-08-31T01:28:17.377Z"
"stealspot.lol","stealspot.lol","https://stealspot.lol/","X accounts","Paid public placement for products and profiles. Claim a rank, make your stake visible, and let the next launch outbid you.","Measured","$1,693","","","","","2026-08-27T04:15:20.582Z","","","10","0","2026-08-30T08:04:24.103Z"
"bestclick.lol","bestclick.lol","https://bestclick.lol/","Websites & products","A live board of SaaS products, ranked by how much each founder has put behind theirs. Click any row to visit the product.","Explicit $0","$0","","","$1","","2026-08-27T04:15:09.727Z","","","6","0","2026-08-29T08:29:11.189Z"
"touchinggrass.lol","touchinggrass.lol","https://touchinggrass.lol/","AI tools & agents","A pay-to-rank leaderboard for apps. Bid for a public spot, then post a verified photo of real grass every day — skip it and the score rots 10%.","Measured","$1","","","$1","","2026-08-27T04:15:08.941Z","","","7","0","2026-08-27T04:19:22.795Z"
"xthrone","xthrone.lol","https://xthrone.lol/","X accounts","An X leaderboard ranked by one number: what you paid. Pay a dollar more than the profile above you and take their seat.","Verified - unmeasured","","","","","","2026-08-27T04:15:08.482Z","","","6","0",""
"stayrich.lol","stayrich.lol","https://stayrich.lol/","X accounts","A public leaderboard ranked by what people spent to be on it. Anyone can say they're rich. Here you prove it.","Verified - unmeasured","","","","$5","","2026-08-27T04:15:07.133Z","","","7","0",""
"tshirtbid.lol","tshirtbid.lol","https://tshirtbid.lol/","Websites & products","$1 puts your logo on the shirt and nothing takes it off. Pay more than the person above you and you take their place. No deadline, no auction to lose.","Measured","$3","$1","","","","2026-08-27T03:45:15.729Z","","","6","0","2026-08-31T01:28:17.559Z"
"SnakeRank","snakerank.lol","https://snakerank.lol/","Websites & products","The leaderboard is a snake. The head costs the most.","Verified - unmeasured","","","","$5","","2026-08-27T03:45:15.122Z","","","8","0",""
