id,name,pitch,type,effort,budget,audience,india,risk,reach,competition,mvp
blogrank,BlogRank,"Pay to rank content; visitors watch/read, answer a question, and earn rewards for verified attention.",visitor-earn,M,high,creator,False,money,5,none,"Link submission, paid rank, visit timer, quiz verification, wallet/UPI payout queue."
matrimonywall,MatrimonyWall,"Profiles, matchmakers and wedding services bid for the top slot in their city/community.",vertical-gap,M,mid,local,True,safe,5,none,"City/community filters, verified profiles, INR bids, moderation queue."
talentstage,TalentStage,"Singers, dancers and actors bid to rank their act; video link is the entry.",vertical-gap,S,low,creator,True,safe,4,generic talent only,"Video links, weekly stage slot, fan-share pages, applause clicks."
rankmydish,RankMyDish / FoodRank Delhi,Restaurants and street-food sellers bid to rank a dish in their city; coupon twist can fund visitors.,vertical-gap,M,mid,local,True,safe,5,none,"City board, dish photo, restaurant link, coupon pool, UPI/INR bids."
shelfrank,ShelfRank,Books and indie authors pay to rank above others in their genre.,vertical-gap,S,low,creator,False,safe,4,none,"Genre boards, cover upload, store links, weekly featured book."
gigwall,GigWall,Freelancers bid to rank their portfolio in public client-facing walls.,vertical-gap,S,low,founder,True,safe,4,adjacent hiring boards,"Skill categories, portfolio links, client inquiry links, paid boosts."
fitladder,FitLadder,"Gyms, trainers and coaches bid to rank in their city using transformation entries.",vertical-gap,S,low,local,True,safe,4,none,"City coach pages, image entries, booking links, weekly top coach badge."
memestand,MemeStand,Meme creators pay to pin image memes on a daily ranked wall.,vertical-gap,S,low,creator,False,drama,5,memecoin boards only,"Daily reset, image upload, frozen archive, share cards."
campusclash,CampusClash,Universities ranked by student bids; campus pride becomes the product.,vertical-gap,M,mid,local,True,drama,4,none,"Campus pages, student email verification, aggregate bids, weekly crown."
chairrank,ChairRank,"Barbers, salons and stylists bid to hold the top chair in their city.",vertical-gap,S,low,local,True,safe,4,none,"City walls, fresh-cut photos, booking links, rank badges."
vowwall,VowWall,"Wedding vendors rank by bid across photographers, venues, planners, DJs and caterers.",vertical-gap,S,low,local,True,safe,4,none,"Vendor categories, city walls, portfolio photos, inquiry CTA."
pourrank,PourRank,"Coffee shops, bars and breweries bid to become the top pour in town.",vertical-gap,S,low,local,False,safe,4,none,"Venue entries, drink photos, city pages, printable top-pour badge."
nightboard,NightBoard,"DJs, promoters and clubs bid to top tonight’s nightlife wall.",vertical-gap,M,mid,local,False,drama,4,none,"Daily rounds, event flyers, city/date filters, ticket links."
lastword,The Last Word,One text box; each higher bid resets a timer; final holder wins the pot.,mechanic,M,mid,founder,False,drama,5,none exact,"One message, countdown, pot split, notifications, final archive."
namebid,NameBid,A website auctions its own name every week to the highest bidder.,mechanic,M,mid,founder,False,drama,4,none,"Weekly auction, theme swap, named-by credit, archive."
ghostwall,GhostWall,Anonymous leaderboard where identity is revealed only by paying extra.,mechanic,S,low,founder,False,drama,4,none,"Anonymous messages, paid unmask, moderation, no-link default."
debatepot,DebatePot,"Two options, one pot; people pay to back a side and winners split the pot.",mechanic,L,high,visitor,False,money,5,none,"Duel creation, paid sides, close timer, pro-rata settlement."
timecapsule,TimeCapsule Rank,Pay to lock a message for a future date; deeper dates rank higher.,mechanic,S,low,creator,False,safe,3,none,"Message lock, future date, countdown, public unlock archive."
shiporskip,ShipOrSkip,Makers pitch ideas; the crowd pays to vote SHIP or SKIP.,mechanic,S,low,founder,False,safe,4,none,"Pitch cards, paid votes, shipped wall, owner updates."
attentiondividend,AttentionDividend,Split part of each bid with visitors who actually viewed entries.,visitor-earn,M,high,visitor,True,money,5,none,"View tracking, reward ledger, anti-fraud checks, payout threshold."
cashbackclick,CashbackClick,Every real click gets instant micro-cashback from the bid pool.,visitor-earn,M,high,visitor,True,money,4,none,"Click validation, UPI payouts, click pool, fraud limits."
shieldbid,ShieldBid,Buy rank insurance; first outbid attempt bounces unless attacker pays more.,mechanic,S,low,founder,False,drama,3,none,"Shield purchase, block event, attacker notice, single-use expiry."
seasonpass,SeasonPass,"Monthly rank wipes with passes, badges, streaks and a season prize.",mechanic,M,mid,founder,False,safe,3,none exact,"Season reset, pass purchase, streak badges, final pot."
predictwall,PredictWall,Visitors predict who holds #1 at close; correct predictors split a pot.,visitor-earn,S,low,visitor,False,money,4,none,"Prediction entries, close time, winner calculation, payout ledger."
